State,Agency,Item Name,Quantity,Type
AL,Alabama A&M U.,Four-wheel drive truck,2,Vehicle
AL,U. of Alabama at Huntsville Police,9mm Brush,50,Other
AL,U. of Alabama at Huntsville Police,Aimpoint Red Dot Sight,10,Other
AL,U. of Alabama at Huntsville Police,Axe,18,Other
AL,U. of Alabama at Huntsville Police,Camera,1,Other
AL,U. of Alabama at Huntsville Police,Crowbar,5,Other
AL,U. of Alabama at Huntsville Police,Filing Cabinet,1,Other
AL,U. of Alabama at Huntsville Police,Ink Jet Printer,1,Other
AL,U. of Alabama at Huntsville Police,Laptop,20,Other
AL,U. of Alabama at Huntsville Police,M-16,5,Gun  
AL,U. of Alabama at Huntsville Police,Metal Detector,2,Other
AL,U. of Alabama at Huntsville Police,Rifle Rack,2,Other
AL,U. of Alabama at Huntsville Police,Microscope,1,Other
AL,U. of Alabama at Huntsville Police,Scale,1,Other
AL,U. of Alabama at Huntsville Police,Typewriter,1,Other
AL,U. of Alabama at Huntsville Police,Ultrasonic Cleaner,1,Other
AL,U. of Alabama at Huntsville Police,Chevy Blazer,2,Vehicle
AL,U. of Alabama at Huntsville Police,Humvee,2,Vehicle
AL,U. of Montevallo Police Department,"Cable, Fiber Optic",248,Other
AL,U. of North Alabama,5000 KW Generator,4,Other
AL,U. of North Alabama,Automated External Defibrillator (AED),6,Other
AL,U. of North Alabama,First Aid Kit,10,Other
AL,U. of North Alabama,Gas Cart,1,Other
AL,U. of North Alabama,Golf Cart,1,Vehicle
AL,U. of North Alabama,Moulage Kit for Practical Emergency Exercises ,1,Other
AL,U. of North Alabama,Segway Personal Transporter,6,Vehicle
AL,U. of North Alabama,Snake-eye camera,2,Other
AL,U. of North Alabama,Trailer,1,Vehicle
AL,U. of North Alabama,"Trailered 10,000/15,000 KW Generator",3,Other
AL,U. of North Alabama,Kevlar Helmet,10,Other
AL,U. of North Alabama,Mechanical Bomb Detection Unit,1,Other
AL,U. of North Alabama,Portable Light Tower,2,Other
AR,NorthWest Arkansas Community College Police Department,M-14,1,Gun
AR,NorthWest Arkansas Community College Police Department,M-16,10,Gun
AR,U. of Arkansas at Little Rock Police,"Sling, Small Arm",15,Other
AR,U. of Arkansas at Little Rock Police,M-16,5,Gun
AR,U. of Arkansas at Little Rock Police,"Guard, Handgun",10,Other
AR,U. of Arkansas at Little Rock Police,"Sight, Reflex",1,Other
AR,U. of Arkansas for Medical Sciences Police,M-14,3,Gun
AR,U. of Arkansas for Medical Sciences Police,M-16,5,Gun
AR,U. of Arkansas for Medical Sciences Police,"Shotgun (12 Gauge, Riot Type)",4,Gun
AR,U. of Arkansas Police Department,M-14,3,Gun
AZ,Arizona State U. Police,M-16,70,Gun
AZ,Arizona Western College Police Department,"Truck, Utility",1,Other
AZ,Arizona Western College Police Department,Field Pack,20,Other
AZ,Arizona Western College Police Department,Ford F-700,1,Vehicle
AZ,Arizona Western College Police Department,"Generator Set, Gasoline Engine",1,Other
AZ,Arizona Western College Police Department,"Scooter, Motor",3,Vehicle
AZ,Arizona Western College Police Department,"Spectacles, Set Ball",20,Other
AZ,Arizona Western College Police Department,M-16,9,Gun
AZ,Arizona Western College Police Department,Floodlight Set,2,Other
AZ,Arizona Western College Police Department,"Pouch, Frag Grenade",30,Other
AZ,Arizona Western College Police Department,"Pouch, Radio, Molle",30,Other
AZ,Pima Community College Police Department,M-14,9,Gun
AZ,U. of Arizona Police Department,"Bag, Barracks",80,Other
AZ,U. of Arizona Police Department,"Viewer Kit, Night Vision",1,Other
CA,Butte College Police Department,M-16,4,Gun
CA,Cerritos College Police Department,Camouflage Screen,2,Other
CA,Cerritos College Police Department,Body Armor,1,Other
CA,Cerritos College Police Department,M-16,3,Gun
CA,El Camino College Police Department,"Brush, Small Cleaning",15,Other
CA,El Camino College Police Department,"Cart, Motorized",11,Vehicle
CA,El Camino College Police Department,Computer Case,30,Other
CA,El Camino College Police Department,"Cleaning Gun, Water",2,Other
CA,El Camino College Police Department,"Cleaning Tool, Vent",20,Other
CA,El Camino College Police Department,Computer,1,Other
CA,El Camino College Police Department,"Robot, Explosive Ord",1,Other
CA,El Camino College Police Department,Disk Drive Unit,10,Other
CA,El Camino College Police Department,Forklift,3,Vehicle
CA,El Camino College Police Department,"Interface Unit, Automatic Data Processing",4,Other
CA,El Camino College Police Department,Laptop Computer,7,Other
CA,El Camino College Police Department,Printer,1,Other
CA,El Camino College Police Department,"Scooter, Motor",1,Vehicle
CA,El Camino College Police Department,"Server, Automatic Data Processing",1,Other
CA,El Camino College Police Department,"Sling, Small Arms",16,Other
CA,El Camino College Police Department,"Floodlight Set, Electric",2,Other
CA,El Camino College Police Department,"Overalls, Cold Weather",2,Other
CA,El Camino College Police Department,Switch KMV,1,Other
CA,El Camino College Police Department,Undershirt ,40,Other
CA,Irvine Valley College Police Department,"Club, Self-Protection",15,Other
CA,Irvine Valley College Police Department,"Goggles, Ballistic",21,Other
CA,Irvine Valley College Police Department,"Goggles, Industrial",14,Other
CA,Irvine Valley College Police Department,Medical and Surgical Instruments,1,Other
CA,Irvine Valley College Police Department,Tool Kit,6,Other
CA,Irvine Valley College Police Department,"Forced Entry and Rescue Equipment, Aircraft Crash",5,Other
CA,Irvine Valley College Police Department,Headset,2,Other
CA,Irvine Valley College Police Department,"Shop kit, construction NBR 1",1,Other
CA,Saddleback College Police,"Box, Ammunition Stowage",2,Other
CA,Saddleback College Police,Mouldingxrear Door,2,Other
CA,Saddleback College Police,"Seat, Folding Crew",4,Other
CA,Saddleback College Police,"Fuel Tank, Patch Kit",1,Other
CA,Saddleback College Police,"Handle Door, Vehicular",3,Other
CA,Saddleback College Police,"Latch, Door, Vehicular",1,Other
CA,Saddleback College Police,Mine Resistant Vehicle,1,Vehicle
CA,Saddleback College Police,"Seat, Vehicular",5,Other
CA,San Joaquin Delta College Police,M-14,2,Gun
CA,San Joaquin Delta College Police,M-16,2,Gun
CA,U. of California at Berkeley Police,M-16,14,Gun
CO,Colorado School of Mines Public Safety,"Borelight System, Laser",2,Other
CO,Colorado School of Mines Public Safety,"Sight, Reflex",10,Other
CO,U. of Northern Colorado Police Department,M-16,3,Gun
CT,Eastern Connecticut State U. Police Department,M-16,21,Gun
CT,Naugatuck Valley Community College Public Safety,Chinstrap,2,Other
CT,U. of Connecticut Police Department,M-14,2,Gun
CT,Yale U. Police Department,Barrel and Front Sight Assembly,11,Other
CT,Yale U. Police Department,"Case, Photographic Equipment",2,Other
CT,Yale U. Police Department,"Cover, Protective, Right",50,Other
CT,Yale U. Police Department,Flashlight,75,Other
CT,Yale U. Police Department,"Adapter Rail, Weapon Mounted",20,Other
CT,Yale U. Police Department,Alice Clip Adapter,100,Other
CT,Yale U. Police Department,Bag,5,Other
CT,Yale U. Police Department,Ballistic Blanket,5,Other
CT,Yale U. Police Department,"Barrel, Carbine",25,Other
CT,Yale U. Police Department,"Box, Ammunition Stowage",20,Other
CT,Yale U. Police Department,"Carrier, Tool Blaste",1,Other
CT,Yale U. Police Department,"Case, Computer",4,Other
CT,Yale U. Police Department,First Aid Kit,75,Other
CT,Yale U. Police Department,"Kit, Close Quarters",25,Other
CT,Yale U. Police Department,"Mount, Rifle",4,Other
CT,Yale U. Police Department,"Pack, patrol, Molle",5,Other
CT,Yale U. Police Department,"Pocket, magazine",7,Other
CT,Yale U. Police Department,Hook and Line Kit,1,Other
CT,Yale U. Police Department,"Rack Assembly, Rifle Stowage",5,Other
CT,Yale U. Police Department,"Range Finder, Laser ",1,Other
CT,Yale U. Police Department,"Receiver, Cartridge",30,Other
